n_nodes,n_edges,density,n_features,error_share,modularity,n_communities,mean_degree,degree_gini,top_token,top1_prob,logit_entropy,rho_pagerank,rho_w_indeg,rho_w_outdeg,rho_w_totdeg,ov10_pagerank,ov10_w_outdeg,ov10_w_totdeg,slug,category,prompt,correct
1087,54378,0.046064234778675155,984,0.08003679852805888,0.44228926364759497,6,100.05151793928243,0.474265679782901,a,0.20725467801094055,1.7077263196221202,0.717365134235073,0.37227371946842774,0.7320756185599667,0.5875261896212335,8,3,5,agpoc-a00-hj328,A,The capital of France is,
1047,48104,0.04392409524800897,943,0.08404966571155682,0.4616940972540234,6,91.88920725883477,0.48250803218305577,a,0.18401940166950226,1.7533087130895928,0.7418050456502107,0.42760738712461555,0.7349040510433362,0.6245571985100418,6,4,6,agpoc-a01-hj328,A,The capital of Japan is,
1058,53767,0.048078969441279935,956,0.08128544423440454,0.43435473127467006,6,101.63894139886578,0.4717659791110864,a,0.17350280284881592,1.72066587127035,0.7322054732612504,0.416665271485825,0.7206378560792791,0.6106066385932017,8,3,5,agpoc-a02-hj328,A,The capital of Italy is,
1059,51559,0.04601748269848325,956,0.0821529745042493,0.44646142584720216,6,97.37299338999055,0.47044718848549627,a,0.1889750361442566,1.7556876765767122,0.7432279055030168,0.406288834297908,0.7325574708637826,0.6103728662574609,7,5,4,agpoc-a03-hj328,A,The capital of Germany is,
1056,52114,0.04677761022547752,954,0.08143939393939394,0.4477779030949045,6,98.70075757575758,0.4758319392450816,a,0.21536748111248016,1.7224050373041997,0.7291039694099064,0.4063823919964224,0.7244302218079637,0.5991917117945252,7,3,5,agpoc-a04-hj328,A,The capital of Spain is,
1074,55144,0.04785135742562057,973,0.07914338919925512,0.43644265142262056,6,102.68901303538175,0.4715857024142107,a,0.19636189937591553,1.6519773888256029,0.7234530357526827,0.3844556960930392,0.7186817020748644,0.5911254178430991,7,4,4,agpoc-a05-hj328,A,The capital of Russia is,
1038,48985,0.045507921732134526,934,0.08477842003853564,0.4527485697813714,5,94.38342967244701,0.4782865975054689,a,0.16848993301391602,1.6931078393163113,0.7399160855248248,0.40422383933853423,0.748824099750071,0.6075205714841377,7,4,4,agpoc-a06-hj328,A,The capital of China is,
1065,46917,0.041403685269511804,961,0.08262910798122065,0.4529517262373679,6,88.10704225352113,0.4813487928587504,a,0.1946999728679657,1.7146998510039144,0.7241209131167506,0.4114561857342814,0.7199984964553121,0.589870219214652,7,3,5,agpoc-a07-hj328,A,The capital of Egypt is,
1009,40563,0.0398821322384256,906,0.08622398414271557,0.46915286554315516,5,80.40237859266601,0.49056763418609534,ottawa,0.2943759858608246,1.6283041770697193,0.6996477783061885,0.38937122540014074,0.7044567079307104,0.5678770007136571,7,5,7,agpoc-a08-hj328,A,The capital of Canada is,
1011,40659,0.039818432881863854,906,0.08803165182987141,0.45834498931149736,5,80.43323442136499,0.4888933553630739,canberra,0.2185814380645752,1.7119910171218242,0.6972533501158992,0.3739760154586569,0.696713809072711,0.5635949453344976,7,6,8,agpoc-a09-hj328,A,The capital of Australia is,
1133,50461,0.039344091018247936,1031,0.07590467784642542,0.4317204407590736,6,89.07502206531333,0.4789775428536537,the,0.13152039051055908,1.5941625794738838,0.7179439191345114,0.3886807346606081,0.7134042470718628,0.5831074246342607,5,4,2,agpoc-b10-hj328,B,The capital of Atlantis is,
